Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Bob Quick,24,DET,SF,56,,20.5,2.8,6.1,.455,2.5,3.1,.784,4.1,1.0,2.5,8.0,
Larry Siegfried,31,SDR,PG,53,,31.6,2.8,7.1,.386,2.5,2.9,.850,3.9,6.5,2.8,8.0,
Bill Hewitt,26,DET,PF,62,,27.8,3.3,7.0,.467,1.1,1.9,.575,7.3,2.0,3.0,7.7,
Bob Portman,23,SFW,SG,68,,20.5,3.3,7.1,.458,1.1,1.6,.726,4.7,1.0,1.9,7.6,
Luther Rackley,24,CLE,C,74,,19.4,3.0,6.4,.466,1.6,2.6,.637,5.3,0.9,2.5,7.6,
Barry Clemens,27,SEA,SF,78,,16.5,3.2,6.7,.470,1.1,1.5,.728,3.1,1.2,2.2,7.4,
Bobby Washington,23,CLE,PG,47,,17.5,2.6,6.6,.397,2.2,3.0,.743,2.2,4.0,2.2,7.4,
John Tresvant,31,2TM,PF,75,,20.2,2.7,5.8,.463,1.9,2.7,.712,5.1,1.1,2.6,7.3,
Dennis Awtrey,22,PHI,C,70,38,18.5,2.9,6.0,.475,1.5,2.2,.662,6.1,1.3,3.0,7.2,
Lucius Allen,23,MIL,PG,61,,19.0,2.9,6.5,.447,1.3,1.8,.700,2.5,2.6,1.8,7.1,
Ed Manning,27,POR,PF,79,,19.7,3.1,7.1,.435,0.9,1.2,.806,5.2,1.4,2.5,7.1,
Willie McCarter,24,LAL,SG,76,,18.0,3.3,7.8,.417,0.6,1.0,.597,1.6,1.7,2.0,7.1,
Nick Jones,25,SFW,SG,81,,14.6,2.8,6.5,.430,1.4,1.9,.735,1.4,1.4,2.4,6.9,
Jake Ford,25,SEA,,5,,13.6,1.8,5.0,.360,3.2,4.4,.727,1.8,1.8,2.2,6.8,
Luke Jackson,29,PHI,C,79,40,22.5,2.5,6.7,.376,1.7,2.4,.693,7.2,1.9,2.7,6.7,
Matt Guokas,26,2TM,SG,79,0,28.0,2.6,5.3,.493,1.3,1.7,.732,2.0,4.3,2.4,6.5,
Hank Finkel,28,BOS,C,80,,15.4,2.7,6.1,.438,1.2,1.6,.732,4.3,1.0,2.5,6.5,
Clyde Lee,26,SFW,C,82,,17.0,2.4,5.2,.453,1.4,2.4,.558,7.0,0.8,1.7,6.1,
Erwin Mueller,26,DET,PF,52,,23.5,2.4,5.9,.408,1.2,2.1,.556,4.3,2.2,1.9,6.0,
Cornell Warner,22,BUF,C,65,,19.9,2.4,5.8,.415,1.2,2.2,.552,7.0,0.8,2.2,6.0,
Lamar Green,23,PHO,PF,68,,19.5,2.5,5.4,.453,0.9,1.6,.604,6.9,0.8,3.0,5.9,
Gar Heard,22,SEA,PF,65,,15.8,2.3,6.1,.381,1.3,1.9,.656,5.0,0.7,1.9,5.9,
Bobby Lewis,25,CLE,SG,79,,23.4,2.3,6.1,.370,1.4,1.9,.717,2.6,3.1,2.2,5.9,
Connie Dierking,34,2TM,C,54,5,13.6,2.3,6.0,.388,1.1,1.6,.685,4.3,1.1,2.1,5.8,
Rod Thorn,29,SEA,SG,63,,12.2,2.2,4.7,.472,1.1,1.6,.676,1.6,2.9,1.0,5.6,
Fred Foster,24,2TM,SF,67,6,13.6,2.2,5.5,.402,1.1,1.6,.689,2.3,0.9,1.7,5.5,
Bob Arnzen,23,CIN,SF,55,,10.8,2.3,5.0,.462,0.8,0.9,.865,2.8,0.4,1.0,5.5,
Fred Taylor,22,PHO,SG,54,,10.2,2.0,5.3,.387,1.4,2.3,.624,1.6,0.9,2.1,5.5,
Terry Driscoll,23,DET,PF,69,,18.2,1.9,4.6,.415,1.6,2.2,.701,5.8,0.8,3.1,5.4,
Greg Hyder,22,CIN,SF,77,,17.6,2.4,5.3,.447,0.7,0.9,.718,4.3,0.6,2.4,5.4,
Freddie Crawford,29,2TM,SG,51,1,12.8,2.2,5.5,.391,0.9,1.9,.490,2.0,1.5,1.5,5.3,
Adrian Smith,34,SFW,SG,21,,11.8,1.8,4.2,.427,1.7,2.0,.854,1.1,1.4,1.1,5.3,
Rudy Tomjanovich,22,SDR,PF,77,,13.8,2.2,5.7,.383,0.9,1.5,.652,4.9,0.9,1.6,5.3,
Rick Roberson,23,LAL,C,65,,14.0,1.9,4.6,.415,1.4,2.2,.615,4.7,0.7,1.9,5.2,
Bernie Williams,25,SDR,SG,56,,12.6,2.0,6.0,.331,1.2,1.4,.840,1.5,2.0,1.4,5.2,
George Wilson,28,BUF,PF,46,,15.5,2.0,5.8,.342,1.2,1.5,.812,5.0,1.0,2.2,5.2,
Len Chappell,30,2TM,,48,,11.2,1.8,4.1,.432,1.5,1.8,.807,3.1,0.4,1.5,5.1,
Bill Dinwiddie,27,BOS,PF,61,,11.8,2.0,5.4,.375,0.9,1.2,.730,3.4,0.6,1.5,4.9,
Pat Riley,25,LAL,SG,54,,9.4,1.9,4.7,.413,1.0,1.6,.644,1.0,1.3,1.6,4.9,
